Quarter,Year,Q,Sort,Total_Rev,Intl_Express,Domestic,Freight,Logistics,Other,Courier,Total_GP,Intl_GP,Domestic_GP,Freight_GP,Logistics_GP,Total_GP_Pct,Intl_GP_Pct,Domestic_GP_Pct,Freight_GP_Pct,Logistics_GP_Pct,Intl_Express_Share,Domestic_Share,Freight_Share,Logistics_Share
Q1 2020,2020,1,20201,1151.6441360550577,,,262.436900433545,95.0443885739144,25.748783339051197,768.414063708547,350.348,,,51.693,17.857,30.421550288973176,,,19.69730625327586,18.78806341745564,,,22.788020380368476,8.252930362628142
Q2 2020,2020,2,20202,1293.775879236649,,,267.57535078716,85.0138082673105,22.7631096013526,918.423610580826,368.415,,,30.987,11.371,28.475952126837566,,,11.580663132400518,13.37547421031411,,,20.681739015341225,6.570984173663074
Q3 2020,2020,3,20203,1466.5337319049922,,,274.87180620438403,94.0457817679466,32.1435876797614,1065.4725562529,408.056,,,33.865,11.665,27.824521940586056,,,12.320288671155783,12.403533450104995,,,18.742958325774897,6.412793631809844
Q4 2020,2020,4,20204,1598.345750464344,,,279.847239544934,100.758250635899,34.6520164646013,1183.08824381891,406.972,,,18.812,9.009999999999991,25.46207539149576,,,6.722238900977056,8.94219574390847,,,17.508554670579507,6.3039083131185585
Q1 2021,2021,1,20211,1424.9331933258538,646.524483858966,355.61786422929,288.280575940776,104.58574155785,29.9245277420579,1002.14234808517,358.64694469182797,202.40003624639905,82.71430988910998,36.83296046239897,18.031788640835295,25.169386633118634,31.305857906311086,23.259323619293397,12.776774967303345,17.2411538822061,45.3722663551651,24.95680961710654,20.23116433044254,7.339694383407722
Q2 2021,2021,2,20212,1570.9232734431178,733.555714494972,367.225963071906,328.594887287615,108.808981524708,32.737727063914896,1100.7816775668798,388.6641360756272,235.154500424513,90.14685130541498,33.95334918402799,6.914819562335004,24.74112788613546,32.05680165499206,24.548060423430208,10.332890284537218,6.355008075105278,46.6958333927525,23.37644169387265,20.917309765702775,6.926435133029933
Q3 2021,2021,3,20213,1461.4041578446536,608.876826084214,460.774931293178,317.999956029371,108.44501017587899,-34.6925657379868,1069.6517573773901,356.07966227077196,194.82168068260904,127.31311244067497,38.21071751639503,13.6678106856214,24.365584315562284,31.996895322086566,27.630216792256274,12.015950566001282,12.603448202415752,41.663821935624824,31.529603143647147,21.75989128827798,7.420603642993511
Q4 2021,2021,4,20214,1611.5445172882794,673.196558903118,423.957217825905,390.676023992678,113.016407797778,10.6983087688035,1097.1537767290201,327.47683702844836,184.53838588846102,84.95878598444601,44.878361750983984,3.8628263412959933,20.320682023695408,27.4122592351246,20.039471534444715,11.48736011294747,3.4179341005138015,41.77337651434509,26.307508931822195,24.24233521330595,7.01292496641352
Q1 2022,2022,1,20221,1448.9316858253944,558.9770652,376.640582563042,391.132666929349,112.105259668336,10.0768732277094,935.616886,344.1000774662265,177.78278670763294,92.76650454720301,52.05326898695203,13.171293797982697,23.7485369967741,31.80502345727242,24.62998116557867,13.308340976887646,11.749041781759427,38.57856589571196,25.994364416738254,26.99455542008783,7.737097667546308
Q2 2022,2022,2,20222,1516.5887507786565,588.432255458431,372.494023368405,432.410059701346,111.756154186905,11.4962580635688,960.926278826837,378.62277569907064,189.708075829205,93.030821056763,57.90063103418599,28.4445387291472,24.965421608506315,32.239577975107565,24.975117779206197,13.39021369534659,25.452324246569486,38.799724391751845,24.561307287631983,28.512018138030847,7.368916202861616
Q3 2022,2022,3,20223,1426.2505831278806,493.9268190190481,369.8196202911113,439.529933418189,110.47451392035501,12.498934716135999,863.7472010732008,320.82724484599373,151.83895453124296,88.90242560968525,60.78232350453478,8.706769370040668,22.494451440811623,30.74118445983541,24.039402111684566,13.828938345981475,7.881247050625347,34.63113879580875,25.92949827091867,30.817160646081206,7.745799737243622
Q4 2022,2022,4,20224,1534.2338538943893,607.5489273569855,377.7284342160337,421.3029045556535,115.4713767666213,12.1822109990966,985.2773615730177,380.75404492470574,193.9987526917639,95.58946324103186,61.9564155928056,18.703803595103746,24.817210489667332,31.93137934350652,25.30639861397395,14.705907536562272,16.197783484391913,39.59949950360089,24.62000387080724,27.460149147813965,7.526321784225855
Q1 2023,2023,1,20231,1431.4963105274066,566.580920045477,361.652200640611,385.432399304953,107.043899568076,10.786890968289642,928.233120686088,357.99990987577075,183.79547836868,87.63659562155698,61.15100818381598,16.202623482585302,25.008790259743858,32.4394048345164,24.2322860102392,15.865559899502243,15.136428650267012,39.579628384562966,25.263928239351685,26.925140950097735,7.477762868186351
Q2 2023,2023,2,20232,1388.8392535080116,561.041184136171,351.385075475396,358.60942971272704,106.216528820156,11.5870353635627,912.426259611566,345.5459488000932,188.32431267678604,74.59098183409898,56.60060606695304,16.297442148518005,24.88019746902264,33.566931983210274,21.227703462699242,15.783356871651243,15.34360266669282,40.39640892342726,25.300629614827418,25.820801709552086,7.6478633903720725
Q3 2023,2023,3,20233,1349.6777967850544,511.950953745064,352.59685805036196,367.911179337307,104.813010850659,12.4057948016625,864.5478117954259,334.6565050959997,182.510200257044,72.16417579133797,58.314131278779996,11.65144184056911,24.795288615783313,35.64993851890127,20.466482937584953,15.850056903358364,11.116407921121992,37.931345908226106,26.124520896042828,27.259185874856573,7.765780181042068
Q4 2023,2023,4,20234,1524.0089549047689,655.8386843325447,361.7255540561105,383.9165881922962,110.85362144526535,11.674506878551806,1017.5642383886554,388.72727883701737,225.6112722676667,78.43441597215389,53.272315856380445,21.131031266597944,25.506889417280874,34.400421575813894,21.683404750549425,13.87601304419214,19.062102790238132,43.03378154188906,23.73513311007505,25.19122915628052,7.273816934506942
